x,y,z
ACUTE,ACUTE,AGCGUGTGEG
ACUTE,ADAGE,AGC_U_T_EG
ACUTE,ADAPT,AGC_U_TYE_
ACUTE,ADIEU,AGC_UYT_EY
ACUTE,ADIOS,AGC_U_T_E_
ACUTE,ADMAN,AGC_U_T_E_
ACUTE,ADMEN,AGC_U_T_EY
ACUTE,ADMIN,AGC_U_T_E_
ACUTE,ADMIT,AGC_U_TYE_
ACUTE,ADMIX,AGC_U_T_E_
ACUTE,ADOBE,AGC_U_T_EG
ACUTE,ADOBO,AGC_U_T_E_
ACUTE,ABODO,AGC_U_T_E_
ACUTE,ADDED,AGC_U_T_EY
ACUTE,ADOPT,AGC_U_TYE_
ACUTE,ADORE,AGC_U_T_EG
ACUTE,AXIOM,AGC_U_T_E_
ACUTE,BAYES,AYC_U_T_EY
ACUTE,BERRY,A_C_U_T_EY
ACUTE,BIKED,A_C_U_T_EY
ACUTE,BLUES,A_C_UGT_EY
ACUTE,BOGEY,A_C_U_T_EY
ACUTE,BOINK,A_C_U_T_E_
ACUTE,CERTS,A_CYU_TGEY
ACUTE,CHINE,A_CYU_T_EG
ACUTE,CINES,A_CYU_T_EY
ACUTE,CIPPI,A_CYU_T_E_
ACUTE,COMBO,A_CYU_T_E_
ACUTE,COMET,A_CYU_TYEY
ACUTE,CONFS,A_CYU_T_E_
ACUTE,CORMS,A_CYU_T_E_
ACUTE,COVES,A_CYU_T_EY
ACUTE,CREDO,A_CYU_T_EY
ACUTE,CRUMP,A_CYUGT_E_
ACUTE,CURRY,A_CYUYT_E_
ACUTE,DAMPY,AYC_U_T_E_
ACUTE,DEELY,A_C_U_T_EY
ACUTE,DERRY,A_C_U_T_EY
ACUTE,DIFFS,A_C_U_T_E_
ACUTE,DILLY,A_C_U_T_E_
ACUTE,DINED,A_C_U_T_EY
ACUTE,DOUMS,A_C_UGT_E_
ACUTE,DRAIL,AYC_U_T_E_
ACUTE,DRAYS,AYC_U_T_E_
ACUTE,DROIT,A_C_U_TYE_
ACUTE,EBONS,A_C_U_T_EY
ACUTE,ELANS,AYC_U_T_EY
ACUTE,ELPEE,A_C_U_T_EG
ACUTE,EMAIL,AYC_U_T_EY
ACUTE,EMITS,A_C_U_TGEY
ADAGE,ACUTE,AGD_A_G_EG
ADAGE,ADAGE,AGDGAGGGEG
ADAGE,ADAPT,AGDGAGG_E_
ADAGE,ADIEU,AGDGA_G_EY
ADAGE,ADIOS,AGDGA_G_E_
ADAGE,ADMAN,AGDGAYG_E_
ADAGE,ADMEN,AGDGA_G_EY
ADAGE,ADMIN,AGDGA_G_E_
ADAGE,ADMIT,AGDGA_G_E_
ADAGE,ADMIX,AGDGA_G_E_
ADAGE,ADOBE,AGDGA_G_EG
ADAGE,ADOBO,AGDGA_G_E_
ADAGE,ABODO,AGDYA_G_E_
ADAGE,ADDED,AGDGA_G_EY
ADAGE,ADOPT,AGDGA_G_E_
ADAGE,ADORE,AGDGA_G_EG
ADAGE,AXIOM,AGD_A_G_E_
ADAGE,BAYES,AYD_A_G_EY
ADAGE,BERRY,A_D_A_G_EY
ADAGE,BIKED,A_DYA_G_EY
ADAGE,BLUES,A_D_A_G_EY
ADAGE,BOGEY,A_D_A_GYEY
ADAGE,BOINK,A_D_A_G_E_
ADAGE,CERTS,A_D_A_G_EY
ADAGE,CHINE,A_D_A_G_EG
ADAGE,CINES,A_D_A_G_EY
ADAGE,CIPPI,A_D_A_G_E_
ADAGE,COMBO,A_D_A_G_E_
ADAGE,COMET,A_D_A_G_EY
ADAGE,CONFS,A_D_A_G_E_
ADAGE,CORMS,A_D_A_G_E_
ADAGE,COVES,A_D_A_G_EY
ADAGE,CREDO,A_DYA_G_EY
ADAGE,CRUMP,A_D_A_G_E_
ADAGE,CURRY,A_D_A_G_E_
ADAGE,DAMPY,AYDYA_G_E_
ADAGE,DEELY,A_DYA_G_EY
ADAGE,DERRY,A_DYA_G_EY
ADAGE,DIFFS,A_DYA_G_E_
ADAGE,DILLY,A_DYA_G_E_
ADAGE,DINED,A_DYA_G_EY
ADAGE,DOUMS,A_DYA_G_E_
ADAGE,DRAIL,A_DYAGG_E_
ADAGE,DRAYS,A_DYAGG_E_
ADAGE,DROIT,A_DYA_G_E_
ADAGE,EBONS,A_D_A_G_EY
ADAGE,ELANS,A_D_AGG_EY
ADAGE,ELPEE,A_D_A_G_EG
ADAGE,EMAIL,A_D_AGG_EY
ADAGE,EMITS,A_D_A_G_EY
ADAPT,ACUTE,AGD_A_P_TY
ADAPT,ADAGE,AGDGAGP_T_
ADAPT,ADAPT,AGDGAGPGTG
ADAPT,ADIEU,AGDGA_P_T_
ADAPT,ADIOS,AGDGA_P_T_
ADAPT,ADMAN,AGDGAYP_T_
ADAPT,ADMEN,AGDGA_P_T_
ADAPT,ADMIN,AGDGA_P_T_
ADAPT,ADMIT,AGDGA_P_TG
ADAPT,ADMIX,AGDGA_P_T_
ADAPT,ADOBE,AGDGA_P_T_
ADAPT,ADOBO,AGDGA_P_T_
ADAPT,ABODO,AGDYA_P_T_
ADAPT,ADDED,AGDGA_P_T_
ADAPT,ADOPT,AGDGA_PGTG
ADAPT,ADORE,AGDGA_P_T_
ADAPT,AXIOM,AGD_A_P_T_
ADAPT,BAYES,AYD_A_P_T_
ADAPT,BERRY,A_D_A_P_T_
ADAPT,BIKED,A_DYA_P_T_
ADAPT,BLUES,A_D_A_P_T_
ADAPT,BOGEY,A_D_A_P_T_
ADAPT,BOINK,A_D_A_P_T_
